,text,sentiment
682,has lost his vocie and adele is laughing at me lol and still wondering why i`m in college on me week off,neutral
683,"_kill_boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",negative
684,"busy working on a new kit... and a couple interviews done...yea! the weekend! pray for my uncle, still young and had a massive stroke!!",positive
685,"didn`t get bitten by a rabies infested person last night  yay for me! gonna scare rachel with quarantine tonight, this shall be fun",neutral
686,_ nooo  no roo crying. but omg i wanted to slap her. she was singing fine then from out of nowhere- boohooooooooooo,negative
687,watching the simpsons,neutral
688,good morning! - court - crossfit - bible study - someone very special`s house  ://tinyurl.com/cjs668,positive
689, have a great time in london,positive
690,"has work very, very soon. way too soon!",neutral
691, phaket.  what did anneliese want to do?,neutral
692,in the emergency room with my cousin. she`s got mad flu and can`t walk or breathe.  why are hospitals always so cold?,negative
693,  thanks for the greeting,positive
694,i`m hungry  wife is at a bodyshop party and is bringing a takeaway home with her - how much longer will the party go on?,neutral
695, ://twitpic.com/4wb52 - such a pretty baby!,positive
696, invite them to your house instead,neutral
697, i`m a bit ben`s thai-ed out,neutral
698,  #stackeoverflow  ://bit.ly/13nfk1,neutral
699,jungle book 2 is sooooo cute.. i have nothing to eat or drink,positive
700,dead stopped in the express lane. this would happen when i choose to take it. no way out now. ugh. hopefully this gets moving,neutral
701,_okeefe yay! you`re on twitter! you`re my secret celeb crush!  (too much info??),neutral
702," ah, ok  thank youuuuuu!",positive
703,"twitter, you just fail at life sometimes.  oh well. ://tinyurl.com/qkxh7q",negative
704,no phone call yet.. 20 minutes until i pluck up the courage. i wish my phone would ring,positive
705, *points at the gear question i just posted* i cant get the rest of my dreadweave set,neutral
706," you remind me so much of a omaha girl, that i use to date.  i guess it all in the jeans, (calvin kleins is what she wore).",neutral
707, sherrieshepherd gave the link for  ://www.brentozar.com/twitter. he gives twitter tips. hope this helps,positive
708, i loved him and he was in a mini,positive
709,  yeah i`m okay been icing and ace bandage and sitting on my **** on twitter... lol thanks,positive
710, you`re so gorgeous!!,positive
711,i guess the relaxing dinner and a movie is out for tonight...i was looking forward to that after my day at work,positive
712,my laptop grew speakers. now i can watch charlie with the sound on,neutral
713, rofl uh huh,positive
714, this was funny! i have 7.,positive
715," well doesn`t that look fab, even if i do say so myself!",negative
716,deadlines!,neutral
717,has a terrible headache.  i need relief!,negative
718,"two months ago, i became irrelevant.",negative
719,finally sunny days and i`m too sick to go outside and play.,negative
720, good luck!! how exciting,positive
721,working up to my vacation to thailand. getting more excited every day,positive
722, we won`t be home till like next month,neutral
723,"finally a chance to show genuine love, not dependent selfish love, i hope i can do it. my heart goes out to you and i`m sorry 4 ur pain.",positive
724," i`m game, too bad your leaving hi!",negative
725,so screwed for sat 2 us,negative
726,just got an im from another co-worker who just got laid off. lots of people becoming unemployed,negative
727, the exact one i was thinking of  the bestttt.,positive
728,easties you can go there anytime,neutral
729,"why does #googledocs do folders, instead of labels like #gmail? i kind of like labels",positive
730," lemme guess - you ran 5 miles at the gym, and are waking your kids up, and then going to the beach and / or recording studio?",neutral
731,i never knew a dentention was so hard 2 get,negative
732,pacquiao fight was fun at home wif fam and melissa sat.    today was a mission to ikea. srsly 4 different freeways to ge to burbank.,positive
733,my nail broke  i haaaaaaaaate,negative
734, dang... that is disappointing,negative
735, yep,neutral
736, how much longer is the nkotb block party? love it! i need to go to bed so just wondering what time it`s over..lol..thanks!,positive
737,  thanks! my mom`s seed is larger and already cracked (and planted). i hope avalina isn`t a dud!,negative
738,anyone want to buy me this anthropomorphic planter? ://tinyurl.com/m6sru3 only available till the 31st,neutral
739,"it`s a beautiful day outside today, shame i`m stuck in the office with the blinds shut to stop glare.",neutral
740,woke up and there was sun! and then it started to rain,neutral
741, and  the creative vado`s are out of stock at walmart.com (missed it)  but thanks for tweeting about it,neutral
742,hates this weather,negative
743,cultural tour 102 by loiusa`s family: kangaroo sight-seeing in cemetary. lovely,positive
744,flap-a-taco was nice until the plebs came in.,negative
745,"oh, and yippee for lyn-z way who gets to celebrate mother`s day for the first time as a mother.",positive
746,"am chillaxin after a busy bankholiday, hope everbody had a gd wkend! holiday in 12 days!!!  ****",positive
747,havin a much better day today!! finished the last twilight book yesterday. classes start next week!      get at me yall!!,positive
748, new motorcycle and you popped a cable already? wow-you ride hard!,positive
749,check out the flyer i designed for the notary and retrograde: ://rachellovespeace.blogspot.com let me know what you think,neutral
750, thanks! welcome back!,positive
751, i want to experience snow  we don`t have snow here and it sucks,negative
752,i have such a sore head,negative
753,"at the office, trying to solve the mystery of whose blood is that in the  bathroom toilet.... eewwwww",neutral
754,awwww..i love him! his car was soooo cute tonight!! i love me some carl..my 10yr old is sad now..lol..,neutral
755, bryan hasn`t replied about wingnuts,neutral
756,watching southpark for another 20 minutes,neutral
757, thanks amy!  that video is so awesome!  did you see tmh?  he`s amazing in that too!! bouncy bouncy bouncy!!!,positive
758, lmao...ha! no i just simply wanted to go to ny!,positive
759,"is bored, cant go on habbo stupid ban",negative
760,tried on all the shoes in new look,neutral
761,its too early  i wanna go back to sleeep,neutral
762," i don`t think i am, my sisters refusn to get me a ticket now.  what you doing next week?",negative
763, oh wow...hope he`s ok  u take him 2 the vet?,neutral
764," he died.  wait, what about magic jack? i just read it.",neutral
765,i`ve just woken up,neutral
766, hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that,positive
767,jon made one of the greatest dinners ever: roast pork tenderloin on a bed of wild rice on a bed of mixed greens & yummy sauce. no wine,positive
768,nooooo its raining......had 2 leave the beach,negative
769,shower. class. more class. taking care of my lady-friend. writing like there`s no tomorrow.,positive
770,rockstar photographer shoot went great tonight. a little different than the usual stuff - very nice.,positive
771, great pics! you should try to start selling your race photos to runners,positive
772,"goodmorning twitter, oh my gosh, i woke up soooo nice, lol ... oh hai thar twitterverse. happy #mothersday everybody  (especially mine)",positive
773,"_dulay i swear it took me 2 hours to get from bel air to alabang.  but yes, i loved reminiscing about our hk trip with you & ",positive
774,hubby went to pick up  my fringe comics today at store by his work. that store was out of business too. no comix in houston. have 2 web.,neutral
775,the world is just amazing!,positive
776,i have no idea what im doing and i am completely lost.,negative
777,at gadgetopia need to dm you but you`re not following me.   will send email.,neutral
778, awww hes too cute!!wish i could`ve gone,positive
779,got my cable set up! win!  got my lock put on my door! win! feeling a tad neglected... fail.,neutral
780, i think that may look a little silly -.- also my camera is broken so no photo,negative
781,just had a great talk with grace about how awesome god is and how he works...that somehow started with how remote controls work,positive
782,this day has beasted me.,negative
783, i`ll be listening!,neutral
784, oh no....u don`t have to hit him up. he had a family emergency so there was a lil delay. just can`t wait to see them,neutral
785,sitting at home doing nothing. gonna be like this all weekend,neutral
786,oh nevermind i think this thing is unsalvageable,negative
787, flew brisbane - lax today.  great flight.  love the lights.  shame about one drink limit though!,neutral
788,i think i should go to sleep considering i hav to b up on 3hrs....,neutral
789,  if i told you how often i wash my hair you would never speak to me again,neutral
790,i just spent 2 hours looking for a blog topic and ended up inventing my own.  grrrr    ://bit.ly/qrz6y,negative
791, seems to have disappeared out of my life,negative
792,"happy mother`s day to my mom, and every mom everywhere.  off for a stroll at the beaches later--hopefully...",positive
793, ohhh i wanna go  gahhh but i dunnooooooo :s me confuzzzledd should i or not???,neutral
794,_kittykat hello new follower  haha!! how are ya?,positive
795, haha best thing about office birthdays hey,positive
796,"****, i never knew i could miss my phone so much for 4 hours till they told me i won`t have it back till then",negative
797,_lay aww well i just randomly woke up and now i can`t sleep! too many things on my mind,negative
798,that`s it? it`s done already? this is one proof that there`s nothing fair in this world.   ://bit.ly/10uemq,negative
799,i am going to see how long i can do this for.,neutral
800,"you better come here by the time i count to 10 or else. 1, 2, 3,  bam!!!!!",positive
801,prd take a long time to review!,neutral
802,"_3 u know - kids do what we do - not what we say ... well, don`t we all, really  ....",positive
803,ugh! i wanna play dnd but i know i`m going to fail this final. i need to study,negative
804,"  hi, thx for following  i teach some chinese lessons on youtube, pls feel free to have a look www.youtube.com/chineselearn",positive
805, how sad! are you saying that i`m fat?  *tears*,negative
806, why thank you. i might just take you up on your offer,neutral
807,i`m trying to find the driver for my microsoft lifecam vx-3000 webcam and can`t find it anywhere! anyone have any links?,negative
808,finally get to lay down for a bit i have a major headache,negative
809,"  yes, you should go see star trek!  it`s sooooo much fun!",positive
810, mitchel you have no idea how much i want to call you!! but it costs loads to call from england!!!,neutral
811,"stupid me, accidentally gave my honey the atomic flavored buffalo wings and now his stomach feels just awful..... im sorry baby",negative
812, very relaxing thank you. hope you get to put your feet up tomorrow and enjoy the day,positive
813, yessir that is 100% right,positive
814, night!,neutral
815,writing my music lit final paper on mozart`s eine kleine nashtmusik. mom is giving me a hand...and i`m actually having a great time,positive
816,i got over the crush issue but now tomorrow my friend is going to india for the whole summer  im back to being sad.,negative
817,too warm!!!,neutral
818,ada acara menarik lain: keys to the vip di channel v. ttg straight yg dikasih tasks to approach strangers in the crowd.. hmm,neutral
819,  well hit me and we can see...it depends then,neutral
820, aww thanx andy,positive
821,some goodies bagged at the car boot including some very cute cross stitch birds for my craft room! the man selling was a sweetie,positive
822,has just finished ironing his clothes for #church. gonna walk the dog now then grab a shower/shave and be off  #jottonia looks good too,positive
823,shower time!!!!!,neutral
824, coooooooool... dooooooooown... patience... is... virtue...,positive
825,"gotta drop off some car parts for a buddy to press out, then to the dentist!    ://yfrog.com/0a7v3j",neutral
826, i cant call  im at work,neutral
827,going to the courthouse to pay for tags & taxes on all our cars...this is gonna be expensive.,negative
828,so tired & ready for bed!! really in the mood for salt & pepper chicken wings & noodles but have no money on me for a chinese!,negative
829,the usual. two family parties today. happy birthday lily!  ://twitpic.com/4w472,positive
830, i am on here..finally. and yay. seriously. that made my day oh fellow hell ruler,neutral
831,goodnight magic and pretty world,positive
832,doesnt have a hangover  and is getting ready for a good ol` english fry up,neutral
833,waiting to put my story about stereo skyline up. don`t know where to put it. boooo,neutral
834,working now,neutral
835,just at starbucks with farrah!,neutral
836,at ginniejean there`s a lot of mojo all over the place...  yes.,neutral
837,third date went well....moving on to fourth!!!!!!,neutral
838,mad tired. but it`s the hols! i miss chomp chomp terribly!,negative
839,is finally starting her assignments,neutral
840,good morning  ready to start this week.,positive
841," i`ve read good things bout it. just not feelin it tonight. proly finish it tomorrow, after star trek",positive
842,so glad i`m finally done with finals!,positive
843,watching 'that thing you do' on comcast. missing my boo like crrrrrazy!,negative
844,it just had to rain on me almost a perfect day now my clothes are wet,negative
845,_1 yeah we only went for 5 days  im trying to get back in november with my mom for super soak stars weekend,neutral
846, i miss u guys too  i prob won`t b bk til august sumtime... but if i come bk anytime b4 then ill 4 sure let u kno!,positive
847," okay, make sure he`s alright kk? cuidalo. let him know he`s a got friend in us aha..",neutral
848,it will if i do it in a round about way. i ahve to copy the public contacts into my personal contacts first.  no big deal,neutral
849,trying to figure it out,neutral
850, _bob7 i`ll update you. i had to leave him at the vet for tests and xrays.,neutral
851,went to see hannah montana movie on saturday  loved it .... still cant work twitter out though,neutral
852," lol, i`ve done that one b4  i`m a victim 2 that! lol",negative
853,i would slip and fall... on the dirty school bathroom floor. fml.,negative
854,just got confirmed that itï¿½s pizza-time with some ex co-workers on friday...looking forward to it,positive
855,well paisley has one of those cone things around her head...so funny but i feel bad for her,neutral
856, ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilse*,negative
857,can`t wait to november for jobros concert ! in examination,positive
858, been there done that. it always ended up with me selling the machine and going back to my mac,neutral
859,"just came back from watching terminator salvation at cathay. it`s so-so only, not so much action  but i feel sorry for marcus though.",negative
860,is sitting thru the boring bits in titanic waiting for the good bit to start in couple of hours,neutral
861,://twitpic.com/4jken - fire and urban at rock challenge,neutral
862,i can`t believe i thought i had a morning shift today and told alex that i could take him to the airport.  his flight is during my shift!,negative
863,"my poor heather, she didnt make the cheerleading squad. im sorry babygirl. maybe next year",negative
864, well now i do,neutral
865,  250e!!! crazzyyyy ! but just this summer !!!  cuz ci are very close to rd! :s,neutral
866,i jus love doin night shifts...will be done in an hour,positive
867,"morning tweeple,way to early again",neutral
868,i have to reupload the **** thing again,negative
869," you know, your updates are really amusing.  how was the prop auction?how much did that baseship bed go for?",positive
870,loves the fact that there`s only 5 days of school left,positive
871, oh no!! i hope it`s not bad,positive
872, awesome..am headin there that nite after my grad dinner  c u then boi! hehe,positive
873,"_beery yeah little rough this morning but more tonight, and tomorrow night if all goes as planned. caloric intake off the charts",negative
874," aww, congrats to the family. ;) send me piccies in the email!",positive
875,"uber bored atm, after out of the blue, will have shower, then watch house or numb3rs (vid) then csi + csi ny + bones double . .. . yay!",positive
876,  i can`t.,neutral
877,"strongly agrees with jason about wolverine, but not about hugh jackman.  sorry. no kids for this mouse.",neutral
878, you okay bby?,neutral
879,okay okay sleep for realz now! goodnight!  ::waves to followers::,positive
880,"omg, my mom just called... im too late... hes gone",negative
881,just lost my internet signal  how will life go on,negative
882, sorry we didn`t get a chance to chat at #screengrab09. caught glimpse of you across room but was dragged home prematurely,negative
883,"__buckley good for you mate, sadly i couldnt get pissed tonight **** driving bad times",positive
884,i just bit my tongue.  blood everywhere!!!,negative
885,pulled up at walmart aunt got out went in i fell asleep 2 hours later.... were r you?!  lol,neutral
886,searching my home for a few things to cook them for dinner this evening. it`s mothers day so guess who im eating with,neutral
887, very very cute  and fun to watch.,positive
888,woke up at 7:50 then fell back to sleep. woke up at 8:50 and back to sleep again. woke up at 9:50 and i`m staying awake! morning!,neutral
889,"great weekend, even though my site is not moved. plenty other things to do and learn. keeping the faith and looking to the future",positive
890, don`t know it really hurt my arm. guess you have to booze me.. or just ask  or  if you don`t believe me!,negative
891,not going to the dance recital and now i feel like a piece of **** cuz it cost so much money,negative
892,"tiiiiiiired! going to bed! drinking leads to making out with boys, who you later forget their names.... don`t drink kids. goodnight",negative
893," just been in that kind of mood, not reason at all. lol, but i`ll try not to be too mushy around you!  i can behave!",neutral
894," thats what doting husbands are for lol!!  i hope that once my braces go on, i can eat normally again",positive
895,; keeps getting such delayed responses. why is my internet so messed up?!,negative
896,and dont tell burnsy - but no comparison between the rocky mountains and mountains in enlgland,neutral
897," i know, that is so sad.  i",negative
898,good morning twits!  let`s makes today x100 better than the one before! start runnin,positive
899, i could get away with it. dare me? i`ll go buy it tomorrow,neutral
900, thanks man.  that sorted it. i only ever remember 222.222,positive
901,_craig_g hope your enjoying the money..it`s looking real good to me right now,positive
902,"this is my favourite shirt, because its true.  <3 grumpy.    a) cute  b) huggable  c) life of the party  (d)... ://tinyurl.com/q7eax7",positive
903,"ok, back to packing. have been sitting in car charging phone as charger was left at home as well",neutral
904,"and thanks,  , fr. yr congratulatory gweetin`",positive
905," every time i have friday off. sadly, that`s not too often",negative
906,star trek was good times.,positive
907,the sun is not cool,negative
908,...  that was meeeaaannn. people make mistakes ok?! lol,negative
909,invisible car helps to boost recycling. honest   ://twurl.nl/fdgmyo,positive
910,"baby baby, it`s gonna be all right when i`m by your side and the whole world turns against you... i ? it when my ipod randoms bsb songs",neutral
911,"ha. totally posting an update at 2am.its lightning outside, pretty.",positive
912, do a tour in the philippines sometime.  a lot of fans here would really love that!,positive
913,has broken off the fb wedding so sadly no longer has an excuse to get at hauntingxealot to goulburn,negative
914, ...you are kickable.,neutral
915,"_richie i also saw u on american idol great performance, i see u will be at windsor in june 20 commodores won`t be there",neutral
916, nice clutch,positive
917,happy mother`s day to all the mommies,positive
918,just finished watching 'marley and me',neutral
919,enjoying mother`s day,positive
920," everyone seems to love it, but it felt kinda lazy and repetative to me.  i was really disappointed.",neutral
921,roll on thursday,neutral
922,"dadgum, i think this nations shipping needs have shut down completely. still no freight for carriers out there.",neutral
923,cavs got lucky 2night  lol but lebron took over and killed em another triple double,neutral
924,wishing all the mommies out there a very happy day!!!,positive
925,"what did i learn today? never post anything you`ve sold on ebay using royal mail. they lose it, i refund: compo`s nowhere near - my bad",negative
926,"_ oh god, yeah! i forgot about that",negative
927,  as long as you have someone to make out with    lol,neutral
928, ahaha its stuck in my head; thanxx,positive
929," you arent following me, so i cant send you a dm..",neutral
930,i`m poorly and can`t sleep,negative
931,happy star wars day ...  'may the 4th be with you'.... read ://tinyurl.com/axsujx for more ;),positive
932, i picked up a taco over lunch... you got a guitar.,neutral
933,buried under more web changes. going to make lunch now... i won`t have a chance later. too much to do.,negative
934,'up' is all sold out!!,neutral
935,i hope everyone had a great weekend! i will be here on and off today as i have 2 important meetings today,positive
936,_gd whoaa kinda hard :o that one that you think will be interesting enough to tell,neutral
937, ://twitpic.com/4qpzx - i love you guys  you`re the best,positive
938,listening 2 music at home all alone lol  who wants 2 come over & hang with me lol!!,neutral
939, shut your face! why are you so mean to me? pedro is supposed to be the mean one,negative
940," or so a month. i put my 2 week`s notice in a little over a week ago, my last day is this friday!",neutral
941,oh yea mspacers my boy just hooked up my page  it looks kewl at least i think so and it only took him 5 minutes www.myspace.com/missmickey,neutral
942,"_babe woo! im getting mine on monday,cant wait  x",positive
943, awww she`s laavly ;) i had to come in  but i`ve got a stunning wee tan (l) ;) yourself?,positive
944, yes please  and if you`re gone i might actually get some work done lol,neutral
945,"i`m really getting sick ugh **** nursing homes! laying in bed, might go run later, watch some more movies with austin. sara & sami left",negative
946," i saw you stalkerishly from the elevator, but brookie was eating her moracca (?) so we had to go.",negative
947,???-?? ? youtube ? ????,neutral
948,calling mum too ask if she can by ice-cream,neutral
949,"_ having a very lazy day, playing xbox and drinking tea",neutral
950, well thatï¿½s disappointing to hear.,negative
951, well if i use all my tweets will be the push to make me go to the shop. and by the time im back it will be over hopefully,positive
952,my mom just texted me and told me that rodney was chasing fireflies in their backyard. awwwww i`m miss him    ://twitpic.com/66pn1,neutral
953,is getting ready for bed. happy mother`s day to all the mothers out there!,positive
954, (blinks fast) its better now ... lol thanks :-*,positive
955,my legs are killing me now.  but i know it`s a good pain all in all.,neutral
956," (cont) a bastardized version of french? it`s fun, believe me!",positive
957," alas, i am moving   (like where i`m moving too, but the actual moving, ugh) wish i could go too!",positive
958,ready to go home,neutral
959,need to push diet to last level. not too good last week lost 1 lb. . better than a gain,neutral
960,today jon doe plays at the moho. ia m excited  itï¿½s gonna be funny.. but before i have to carry all the equipment and do the backline,positive
961,my back is killing me...  it won`t keep me from dropping it low...hope i got someone to pick it back up tho... lol,neutral
962,facebook is being a ****,negative
963,mad the rain got me...now i cant go see jaiden   *|)|/-\|\|/-\*,negative
964,i am at my grandparents place,neutral
965,hi from chile!!! it`s 9 deg c  winter`s coming....cant wait for cali sun.,neutral
966,i dont feel very good,negative
967, i was born there,neutral
968, congradts on ur show  even tho i wasnt there lol,positive
969,damjust finished watching prison break: the final break...omg i dont think i`ve cried so hard for a show..finally understand the finale,positive
970,"visiting the grandparents in manhattan, and dropping off my sister for the week! i wish i had an excuse to be so tired today..",negative
971,"so glad it is friday  two classes, then lazy afternoon. too bad it isnt nice and warm out today",neutral
972, good luck.. finally your long time will of panvel tweetup finally coming true..,positive
973,"heading off to hollywood studios today  manta and kraken were both awesome yesterday, feeling like doing a few more rides!!",positive
974,this weekend is going to be packed full of work for school  no life this summer i`m afraid.,negative
975,please read my blog ://amandallynn.blogspot.com/ i`m not having the best day,negative
976,_aid16 goodnight!,neutral
977, welcome,positive
978," ha! thanks bryan! and don`t remind me about the state budget issues.  actually, steve only has 6 staffers in 3 offices.",positive
979," thanks, none close to me.",positive
980,"watered the tomato plants, pepper plants and lettuce, feeling all homely! off out with freddie for a fun-packed day",positive
981, haha i will remember that  ****,neutral
982," will do  hee after exams, i`ll give u plenty of shows. haha hopeless me",neutral
983, i sorry,positive
984," awww, it does remind me of getting ready for the ball.",neutral
985," you did know, you just couldn`t remember!!",negative
986,_bishop  sez need to get u to look at my flights again  will email ur work tonite,neutral
987," if so, the tmobile g1 is the hummer h1. i wish i had the battery life of an iphone!",positive
988,nite nite twitts i wish u all a happy sunday i already have my major gift my my 2kids-my bro-n at_agressiva23 n 1 other gift on d way  tyg,positive
989,omg. its 1:47 am and kim possible is on disney channel right now. i am glued to the screen,positive
990, at first i thought bar life meant you were partying nonstop to catch up for the last 2 years...lol shoulda known better,positive
991,work in that heat is horrible !,negative
992, someone came in when i was sleeping off my national passtime and turned me human,positive
993, i see you didn`t shave your head. but i *love* the cut.  i`m glad you didn`t shave it. your hair`s too pretty!,positive
994,"_starr yep, the hawkesbury classic starts at windsor, home of said dj",neutral
995," i am twittering, like a boss. thanks savvv",positive
996, my sleep pattern is screwed i need to try and stay up 2 midnight so i can get some decent sleep coz i havent slept,positive
997, since the demise of woolworths it isn`t easy to find reasonably priced pick n mix anywhere,negative
998,may the fourth be with you! happy star wars day,positive
999," i`ve been unlocked for decades now...just not lucky, never have been.  gottta make my own luck and that involves $$$$$",negative
1000,taking care of yucky stuff.,negative
1001,homework on a friday night...lame,negative
1002,always thinking about to look for a good place to appericiate everyone who supports me on every site i joined,positive
1003,industrial tommorow! oh yeah & i get to go see a bunch of old people go away forever & i will probably cry all over the place.,negative
1004,"can`t believe i just drove all the way back to school...whatever happy mother`s day: mommy, precious, candis and granny",positive
1005,at the redi med. getting checked for strep throat.,neutral
1006,i`m either always on the train or at work,neutral
1007,i hope it doesnt rain tonight tomorrow my fam. comes to visit swimming pool and carne asada  if it rains the pool is going to be dirty,positive
1008,"laughing for no reason...maybe its because its 2:27 and i`m tired, haha. maybe i should go to bed  night!",negative
1009, that`s me on a good day,positive
1010,_greta that is so not good.  your box is worth way more than that!,negative
1011, i created my account just to get a chance to chat with you (: i admire you! you`re amazing! you inspire me to write  <3,positive
1012,think i`ll go enjoy the sun`s rays again...i love being off work,positive
1013," hahaha, i was busy, now i see what i replied to you! yes that is true",positive
1014, thank you cici  right back at ya!,positive
1015, very bad.,negative
1016, he`s not logging in yet.  and i doubt if he will check his his replies here in twitter. but we must keep on trying!,neutral
1017,very content with my life at the moment,neutral
1018," thanks, i feel a lot better now.. but it hurt like hell!!!  good luck with the lousy student writing.",neutral
1019, thank you  x,positive
1020, i think we have it pretty much figured out.  added a box in the helsinki group where you can see the tweets,positive
1021,i must have just missed   & i guess i scared  & _tx off...  sorry,negative
1022," esther rhymes with: investor, tester, jester, pester, polyester, semester, sylvester, requester... just to name a few",neutral
1023, ://twitpic.com/4vdc3 - lexus has the twitpic! happy mother`s day to you lexus.  i hopw it`s a nice one for you.,positive
1024,last night in australia,neutral
1025,i was an extra. got ready for work for nothing. studying all night,neutral
1026,_uts bass love,positive
1027,omg j.o.n.a.s. is my new fave show <3 one guess as to why hahahha,positive
1028,it`s mothers day today,neutral
1029, yeah it is. thanks,positive
1030,_i_am_jes yay! congrats! i`m afraid to check my grades!,neutral
1031,i feel really bad for female racoons with abusive racoon husbands... when you always have black eyes- no one can help,negative
1032,same difference today  going to go and have a shower then get ready!,neutral
1033,??????? #bash ?? ??????? ????????? ????,neutral
1034,"its prob cuz i don`t really like sleeping in late, even if i tried.",negative
1035, congrats on the knottie man!,positive
1036," awww. don`t mean to sound like an overgrown age 37 baby, but i`m still stick. not as bad as yesterday, but still bad.",negative
1037," i guess your cooler than me, tony hawk never replied to me",neutral
1038,wishing i could kidnap  from work,neutral
1039, there coming this year ^-^  wil said it himself  but yes now would be good.,positive
1040,i ran out of eclipse mints,neutral
1041, tweeten maar,neutral
1042,"i`m watching missing pieces, just coz the theme song is lost without you",negative
1043," need some more enthu movie guys for that. right now it`s just you,  and at_anshul",neutral
1044, **** i hope theyr all wrong we need him,negative
1045,no... have to go on cruches next 2 weeks,neutral
1046,my throat is killing me,negative
1047, im back on twitter.,neutral
1048,looked up weather for greece this weekend....80 and sunny omgz,neutral
1049, awww  i`ll let you off - but you`d better be there for my next 30th! xd,positive
1050, yoyo door nazis refused me entry on account of no id  gutted! heard it was a good night tho.. next time i`ll come prepared!,neutral
1051," ah! well, i`ll see if i can find u later in the week.  i am tempted to look at leica`s this week. lol. we could go check it out.",neutral
1052, babe u aint been reading my tweets- my phone has fallen apart. my new on comes nxt wk. the track ball keeps fallin out my phone,neutral
1053,  hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy<3 love that dog,neutral
1054,"_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes hours",negative
1055,_s make me tea pleaseeeeeeeeeee,neutral
1056, classes. n bout to make sum breakfast..,neutral
1057, oh dear.. u serious? so how does one prevent bites??  i`m so itchy its distracting while editing.. *sigh*,negative
1058,sports car + curb = flat tire.,neutral
1059,i think i just good stood up...,positive
1060,"omnomnom    just came online to 69 unread emails, as well as my backlog from yesterday  ://tinyurl.com/lxjdjc",neutral
1061,hook up with rian van staden on twitter. he is a (much) better cook and may have some more concrete suggestions,positive
1062," nako! umuulan pa naman!  anyway, enjoy the bike rides!",positive
1063,has just discovered a great site!,positive
1064, oohh yaay like it !  ?    love ya,positive
1065,dota is an addiction...i waste 6-7 hours playing dota,negative
1066, yeah. it totally sucks.  i hate not being able to breathe! thanks for the ff!,neutral
1067, how long before the frisbee golfer 'accidentally' catches one in the back of the head from his friend,negative
1068,_lhoste thanks you so much for following me on twitter; i hope you find it as exciting as i do! looking forward to your tweets!,positive
1069,hi guys just doing da usael notmuch really! <3 sad me,negative
1070,"happy mother`s day to all the mommies out there, be you woman or man as long as you`re `momma` to someone this is your day!",positive
1071,"not smoking sucks sucks **** sucks, i want a cig",negative
1072," no, i do better with people i don`t know   you`re going to chiodos tonight, right? just kill something for me.",neutral
1073, while im stuck inside in elk grove village working all day   someone should enjoy it!,neutral
1074, hi i have uploaded 5 completely new chinese lessons on www.youtube.com/chineselearn please feel free to watch and enjoy,positive
1075, that was nice. i just ordered my mom her gift from me and my sister.   something different and unexpected.,positive
1076,don`t follow your dreams; chase them.- richard dumb (who i think is very smart,positive
1077, up is out?  i didn`t get the memo   it looks amazing.,positive
1078, yeah twitter is a lot of fun babe... especially when you`ve got ppl to talk to! lol & that sounds goooooood lol,positive
1079,tonight was hilariouss  i loveeee everyone that was theree,positive
1080, thank you!! you guys did awesome things for my blog tonight  so grateful!!,positive
1081, call me when you have time and a good phone  i wanna catch up with you! i love you and miss you.,neutral
1082,has heart burn,negative
1083,at_twee haha thanks to you that`s my new word for the week! ****,positive
1084," even if i was drunk, i`d think about using a fake/temporary mail address",neutral
1085,happy mom`s day to your moms !,positive
1086,_guy would luv to hear music too but iï¿½m out of batteries - the tv plays besides but i think this is some kind of vampire movie,positive
1087,just touched down in changi. +1/2 hrs to kill before heading to penang.  must fly singapore air more often!,neutral
1088," dude, that`s eff`ed up. lol at chris browning you. we live so far apart and im afraid to fly",negative
1089,wow i have no friends on twitter,neutral
1090,washing the dishes :s its so hard 2 be me,negative
1091,"just wanted to say, positivity is doin me good! change it up! won`t regret it... forsure..",positive
1092, my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all.,neutral
1093, i had mint ice-cream for dessert tonight. love the stuff!,positive
1094,watching snl with my ucsd girls and laughing about twitter/blackberry jokes  thought i`d tweet that.,positive
1095,drink #2: and at 12:45pm when leaving the shops i had a medium light coffee frappuccino. nom nom nom,neutral
1096, depends on what they want for it....i`ve become poor again,negative
1097,uploading pictures on myspace,neutral
1098," but it was kinda funny, sorry. ur still my favorite tho",neutral
1099, i think both ?s related to size depend on structures and system: hard to relay in tweet but worth blogging..good questions this am,positive
1100,almost to grandmas now. no internet there. i will never catch up on twitter.,negative
1101,is having awesome fruits and vegetable juice at the opening of lam`s noodles at 8  ://tinyurl.com/r65c68,positive
1102, lol clever i`m extremely jealous of the amount of followers you have  i only have 24,neutral
1103,okie gonna tweet more because i am loosing you guys or girls,negative
1104,"  i think your friend is thinking of jonathan, not danny",neutral
1105,packing up and leaving inlaws house heading home sweet home... had a nice weekend and back to work in a few hours,positive
1106,happy momma`s day all. honor your moms  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  ://bit.ly/bpekk,positive
1107,just got back from donating blood,neutral
